Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
1.750 tỷ,48m2,"đường Lê Thành Phương, phường 15, quận 8",2,2,1 trệt 1 lầu,"gần cửa hàng bể cá Nam Đang, gần cửa hàng điện tử - tin học Bình Lâm, gần cửa hàng bàn ghế và cổng hoa Ngọc Trinh, gần quán ăn Sân Vường và BBQ Đồng Quê, gần chợ, gần bách hóa xanh, các của hàng buôn bán thời trang, các dịch vụ chăm sóc sức khỏe và làm đẹp",Lê Thành Phương,phường 15,quận 8,not specified,not specified,257276
1.650 tỷ,4x12 (48m2),"Đường Rạch Cát, Phường 15, Quận 8",2,2,1 trệt 2 lầu,"Gần cửa hàng điện gia dụng, gần cửa hàng mỹ phẫm Bối Bối, gần cửa hàng quần áo Doanh Store, gần cửa hàng điện thoại di động và máy tính Hoàng Kim, gần phòng nhi Bác sĩ Sương, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như của hàng tện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Rạch Cát,Phường 15,Quận 8,Not mentioned,Not mentioned,257332
4.6 tỷ VND,82m2,"Đường 21 Hiệp Bình Phước, TP Thủ Đức",3,3,Not mentioned,"Sổ hồng vuông vức, pháp lý chuẩn, công chứng trong ngày, tiện ích xung quanh đầy đủ",Đường 21 Hiệp Bình Phước,Not mentioned,TP Thủ Đức,3,Nhà trong hẻm,257331
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257325
13.5 tỷ VND,"84m2, 5mx17m","Nhà mặt tiền Đường Số 59, Phường 14, Gò Vấp",5,5,5,"1 phòng GYM, 1 phòng thờ 40m2, phòng khách, bếp, sân thượng",Đường Số 59,Phường 14,Gò Vấp,1,Ngoài lộ,257324
3 tỷ 6,40m2,"Nhà Đường Cách Mạng Tháng Tám, Phường 5, Tân Bình",2,Not mentioned,1 lầu,"Nhà tiện vừa ở vừa kinh doanh, ban công, pháp lý chuẩn sổ nở hậu, công chứng trong ngày",Cách Mạng Tháng Tám,Phường 5,Tân Bình,Not mentioned,Hẻm xe hơi,257323
1.55 tỷ VND,41.8m2 (3.8x11),"hẻm 1873 Phạm Thế Hiển, Phường 6, Quận 8",2,2,2,"gần siêu thị, nhà thuốc, nhiều công ty xung quanh",Phạm Thế Hiển,Phường 6,Quận 8,Not specified,Alley,257322
"1,75 tỷ VND","50m2 (4x12,5m)","hẻm 214 Nguyễn Oanh, phường 17, quận Gò Vấp",2,2,1 trệt 1 lầu,"Nhà mới đẹp, thoáng mát, năng lượng ngập tràn, sân thượng thoáng mát, hàng xóm gần gũi, dân cư thân thiện, văn minh, hẻm xe hơi thông thoáng",Nguyễn Oanh,phường 17,quận Gò Vấp,Not mentioned,Nhà trong hẻm,257321
5.3 tỷ,130m2,"Đình Nghị Xuân, Bình Tân",2,Not mentioned,2,"Sổ hồng riêng, hẻm rộng thông thoáng",Not mentioned,Not mentioned,Bình Tân,1,"Sát mặt tiền, nhà trong hẻm",257274
4.5 tỷ VND,"39m2 (ngang 3m, dài 13m)","225 Nguyễn Đình Chiểu, phường 5, quận 3",2,2,1 trệt 1 lầu,"trường THCS Kiến Thiết, khách sạn, ngân hàng, quán ăn, coffee",Nguyễn Đình Chiểu,phường 5,quận 3,Not mentioned,nhà trong hẻm,257245
Not mentioned in the text,45.5 m2 (3.5x13),"HXH 160/57 đường Nguyễn Văn Quỳ - Phú Thuận, Quận 7",2,2,Not mentioned in the text,"Near Phú Mỹ bridge, near the intersection of Nguyễn Thị Thập - Huỳnh Tấn Phát, near Quận 7 Hospital, mobile convenience store, Điện máy chợ lớn, primary, secondary, and high schools, located on the main road of Quận 7, surrounded by complete amenities",Nguyễn Văn Quỳ,Phú Thuận,Quận 7,Not mentioned in the text,Hẻm xe hơi,257240
1.55 tỷ,38.5m2 (3.5x11),"79 đường Phú Định, phường 16, Quận 8",2,2,"1 trệt, 1 lầu","gần đường Võ Văn Kiệt, mẫu giáo Cát Tường, cửa hàng tiện lợi,...",Phú Định,Phường 16,Quận 8,Not mentioned,Nhà trong hẻm,257239
1.85 tỷ,"45m2 (ngang 5m, dài 9m)","hẻm 79 Phú Định, phường 16, quận 8",2,2,1,"Chợ tự phát, nhà thuốc, chùa Quang Hải, quán ăn, công ty văn phòng",Phú Định,phường 16,quận 8,not available,nhà trong hẻm,257237
"1,65 tỷ VND","35m2 (3,5x10m)","hẻm 710 Luỹ Bán Bích, phường Tân Thành, quận Tân Phú",2,2,1,Sân thượng thoáng mát,Luỹ Bán Bích,Tân Thành,Tân Phú,Not provided,Hẻm,257235
3 tỷ 6,40m2,"Đường Cách Mạng Tháng, Tân Bình",2,1,2,"1 bếp, ban công, phong cách hiện đại",Cách Mạng Tháng,Not provided,Tân Bình,Not provided,Not provided,257233
"9,5 tỷ",370m2,"Đường số 6, Phường Linh Xuân, Quận Thủ Đức, TP HCM",22,Not mentioned,Not mentioned,"Thuận thiện duy chuyển ra QL 1K, QL 1A, Phạm Văn Đồng, Ngay trường tiểu học Nguyễn Văn Lịch, chợ Xuân Hiệp, TT văn hoá, Thể Thao",Đường số 6,Linh Xuân,Thủ Đức,Not mentioned,Not mentioned,257232
Not specified in the text,48m2,"hẻm 162 Nguyễn Văn Lượng, phường 17, quận Gò Vấp, TP. HCM",2,2,1 trệt 1 lầu,"Lotte Mart Nguyễn Văn Lượng Gò Vấp, chợ, tạp hóa, bệnh viện, trường học, quán cafe, quán ăn nhậu",Nguyễn Văn Lượng,phường 17,quận Gò Vấp,4.5m,nhà trong hẻm,257228
1.9 tỷ VND,42m2 (3.5x12),"nhà hẻm 48 Lương Thế Vinh, phường Tân Thới Hòa, quận Tân Phú",2,2,1 trệt 1 lầu,"nhà thuốc, chùa Phước Huệ, CLB Bida, công ty văn phòng, quán ăn",Lương Thế Vinh,Tân Thới Hòa,Tân Phú,Not specified,Nhà trong hẻm,257225
Not mentioned in the listing,45m2 (3x15),"Hẻm 386 Lê Văn Sỹ, phường 14, quận 3",2,2,1,"Near UBND, Công An Phường, văn phòng cty, chợ tự phát, trường học, bệnh viện, siêu thị mini, chợ Nguyễn Văn Trỗi, coopmart Nhiêu Lộc",Lê Văn Sỹ,Phường 14,Quận 3,Not mentioned in the listing,Nhà trong hẻm,257222
1.9 tỷ,46m2 (4x11.5),"165 đường Văn Thân, Phường 8, Quận 8",2,2,2,"gần lớp mẫu giáo Hương Thơ, cửa hàng tiện lợi, dân cư sinh sống đông đúc",Văn Thân,Phường 8,Quận 8,Not specified,Hẻm,257271
15 tỷ VND,"73m, 4 tầng, 5.2x14",Điện Biên Phủ Phương 3 Quận 3,8,Not specified,4,"Phòng khách, bếp rộng rãi, sân thượng phơi đồ, trồng cây cảnh",Điện Biên Phủ,Phương 3,Quận 3,5.2m,Not specified,257221
1.59 tỷ VND,40.7m2 (3.7x11),"Bến Bình Đông hẻm 361, đường Lương Văn Can, Quận 8",2,2,2,"gần trường THPT Ngô Gia Tự, cửa hàng tiện lợi, nhà thuốc",Lương Văn Can,Bến Bình Đông,Quận 8,Not mentioned,Nhà trong hẻm,257270
3.2 tỷ,39.6m2,"nhà hẻm 42 Hoàng Hoa Thám, phường 5, quận Phú Nhuận",2,2,1 trệt 1 lầu,"ban công rộng rãi, gần trạm y tế phường, bách hóa, trung tâm tin học, ngân hàng",Hoàng Hoa Thám,phường 5,quận Phú Nhuận,3.6m,nhà trong hẻm,257265
1 tỷ VND,"42m2 (3,5x12,8m)","Hẻm 98 Bùi Văn Ba, phường Tân Thuận Đông, quận 7",2,2,2,"văn phòng cty, chợ Bùi Văn Ba, trường học, bệnh viện, siêu thị mini, cửa hàng tiện lợi, quán ăn",Bùi Văn Ba,Tân Thuận Đông,quận 7,Not mentioned,Hẻm,257261
1.75 tỷ,45.6m2 (3.8x12),"hẻm 258 đường Bông Sao, phường 5, Quận 8",2,2,"1 trệt, 1 lầu","Gần trường mầm non Tuệ Đức, trường tiều học Hoàng Minh Đạo, cửa hàng tiện lợi,...",Bông Sao,phường 5,Quận 8,Not mentioned,hẻm,257260
7 tỷ tl,"30,2m2",HXH 251/59 Lê Quang Định - P7- Bình Thạnh,9,8,5,"Kiến trúc trang nhã, Đang có HĐ thuê 30tr hàng tháng, Đầu tư sinh lợi",Lê Quang Định,P7,Bình Thạnh,3m7,Trục thẳng Bà Chiểu & Đại lộ Phạm Văn Đồng,257256
7.5 tỷ VND,48m2 (4.8mx12mx5tầng),"Nhà Ngô Đức Kế, Phường 12, Quận Bình Thạnh, Hồ Chí Minh",5,Not specified,5,"Sổ hồng riêng, hoàn công đủ, sát mặt tiền đường, ô tô đổ cửa",Ngô Đức Kế,Phường 12,Quận Bình Thạnh,Not specified,Sát mặt tiền,257253
5 tỷ 850 triệu VND,"3m4 x 12m6, DT công nhận: 43,1m2","100/168C Thích Quãng Đức, P5, Phú Nhuận",5,4,3 lầu,"Sổ hồng chính chủ, Hoàn công đủ",Thích Quãng Đức,Phường 5,Quận Phú Nhuận,4m,Nhà trong hẻm,257249
7 tỷ VND,56m2,Khu vip quận 8 - Dương Bá Trạc,3,2,1 trệt 1 lầu,"Hẻm xe hơi 5m, khu vực VIP nhất Quận 8, hàng xóm dân trí cao, an ninh yên tĩnh",Dương Bá Trạc,Not mentioned,Quận 8,Not mentioned,Nhà trong hẻm,257218
1.65 tỷ,"35m2 (ngang 3.5m, dài 10m)","nhà hẻm số 15 Tân Thới Nhất 1, phường Tân Thới Nhất, quận 12",2,2,1 trệt 1 lầu,"trạm y tế phường Tân Thới Nhất, trường mầm non, trường tiểu học Nguyễn Thị Định, cây xăng, nhà sách",Tân Thới Nhất 1,Tân Thới Nhất,quận 12,Not mentioned,Nhà trong hẻm,257156
5.5 tỷ,"40.8m2 (ngang 3.4m, dài 12m)","hẻm 80 đường Nguyễn Trãi, phường 3, quận 5",2,2,1 trệt 1 lầu,"ngân hàng, khách sạn, shophouse, trường mầm non, nhiều công ty văn phòng, quán ăn,...",Nguyễn Trãi,phường 3,quận 5,not provided,nhà trong hẻm,257154
6 tỷ,5x12,"lê quang định, p11, bình thạnh",4,4,5,"thiết kế mới, hiện đại, hẻm xe hơi 7 chổ đỗ cửa, thoáng mát, an ninh yên tĩnh, gần mặt tiền",lê quang định,p11,bình thạnh,Not mentioned,Hẻm,257153
4 tỷ,120m2,"Sát mặt tiền Mã Lò, BV Bình Tân, HL2",2,2,2,"Ô tô đổ cửa, Tiện ích xung quanh không thiếu thứ gì, Sổ hồng riêng vuông vức A4",Mã Lò,Not mentioned,Bình Tân,Not mentioned,Hẻm nhựa 5m,257152
3.1 tỷ VND,80 m2,"Gần đường, Tỉnh LỘ 10 là Trục đường Bà Hom nối dài Cách Coopmart Phú Lâm 1km, gần ngã tư Bốn xã, Lê Văn Quới, Bến xe Miền Tây.",2,Not specified,2,"Nhiều tiện ích, Sổ vuông vức, Pháp lý chuẩn, Công chứng ngay",Tỉnh LỘ 10,Not specified,Not specified,Not specified,Nhà trong hẻm hay ngoài lộ,257142
1 tỷ 660 triệu,52m2 (4m x 13m),"Bán nhà Đ.Số 18, Hiệp Bình Chánh, Thủ Đức",2,2,1 trệt 1 lầu,có ban công,Đ.Số 18,Hiệp Bình Chánh,Thủ Đức,5m,nhà trong hẻm,257141
1.7 tỷ,38.5m2,"hẻm 793 đường Trần Xuân Soạn, phường Tân Hưng, quận 7",2,2,Not mentioned,"nhà thuốc, chùa Kiều Đàm, trung tâm sửa chữa xe, nhiều công ty văn phòng",Trần Xuân Soạn,Tân Hưng,Quận 7,Not mentioned,hẻm,257114
2.1 tỷ,42m2 (3.5x12),"hẻm 202 đường Nguyễn Xí, phường 26, quận Bình Thạnh",2,2,1 trệt 1 lầu,"CGV, siêu thị, Aeon Nguyễn Xí, quán ăn,...",Nguyễn Xí,phường 26,quận Bình Thạnh,Not specified,nhà trong hẻm,257102
2 tỷ 970 triệu VND,"45m2 (diện tích đất), 4.4 x 8.4m (diện tích xây dựng)","Nhà mới 3 mặt góc hẻm đường Lê Quang Định, P.11, Bình Thạnh",3,3,"1 trệt, 3 lầu","Nhà 3 mặt hẻm, nhiều cửa sổ thoáng mát, ánh sáng tự nhiên, sân trước nhà đậu xe thoải mái, sân thượng cải tạo thêm 1 phòng lớn sân phơi",Lê Quang Định,Phường 11,Bình Thạnh,3,Nhà trong hẻm,257092
22 tỷ VND,64m² (4m x 16m),"Lý Thường Kiệt, Quận 10, Tp. HCM",4,3,3 tầng + sân thượng,"Khu kinh doanh, sầm uất, có đầy đủ mọi tiện ích",Lý Thường Kiệt,Not mentioned in the text,Quận 10,4m,Ngoài lộ (đường nhựa 10m),257091
4.2 tỷ,not specified,Hẻm 6m ô tô vào nhà - Quang Trung,2,3,2,"Nhà mới, nội thất tặng hết, giếng trời thoáng sáng, sân rộng rãi, khu dân trí cao, an ninh văn minh lịch sự, sổ đẹp vuông vức hoàn công đầy đủ",not specified,not specified,Quang Trung,not specified,Hẻm,257217
22.5 tỷ,"6m x 12.5m (nở hậu ), DTCN: 70m²","Đường 3/2, Quận 11",Not mentioned,Not mentioned,3 tầng,Not mentioned,Đường 3/2,Not mentioned,Quận 11,30m,Not mentioned,257090
Giá không được cung cấp trong nội dung,60 m2,Bình Tân (vị trí chung),Không rõ,Không rõ,Không rõ,"Hẻm xe tải 8M thông, Nhà 2 mặt hẻm trước sau",Không rõ,Không rõ,Bình Tân,2,Nhà trong hẻm,257211
4 tỷ 140 triệu VND (giảm 700 triệu),"193 m2 (4 x 13,2)","Mặt Tiền đường Ba Vân, Phường 14, Quận Tân Bình, Thành Phố Hồ Chí Minh",4,4,3,"Máy lạnh, sàn lát gỗ, sân thượng lợp tôn",Ba Vân,Phường 14,Quận Tân Bình,1,Ngoài lộ,257208
6.75 tỷ VND,4.5x10 m2,"Lý Thường Kiệt - Tân Bình, near District 10 and District 11",3,Not specified,3,"Giếng trời (skylight), Nhà được thông hẻm, Sổ nổ hậu",Lý Thường Kiệt,Not specified,Tân Bình,Not specified,Hẻm thông (Alley),257206
3 tỷ VND,140m2,Bình Tân,2,1,3,"Hẻm ô tô, phòng khách rộng, thoáng mát",Not mentioned,Not mentioned,Bình Tân,Not mentioned,Hẻm,257205
11 tỷ,5x16,"Hẻm 8m Phạm Huy Thông, Gò Vấp, Trung Tâm Gò Vấp, Nguyễn Oanh, Phan Văn Trị",3,4,3,"Nhà Đúc BTCt 3 tấm kiên cố,hẻm vỉa hè, An ninh yên tĩnh dân trí cao, khu bàn cờ, Sổ vuông vức pháp lý chuẩn, Nói không với quy hoạch",Phạm Huy Thông,Gò Vấp,Trung Tâm Gò Vấp,8m,Nhà trong hẻm,257187
1.550 tỷ VND,4x12 (48m2),"Đường Lê Bôi, Phường 7, Quận 8",2,2,1 trệt 1 lầu,"Gần với Phòng khám Nội Hoa, gần với trường mần non Khai Tâm, Nằm gần chợ, các dịch vụ tiện ích xung quanh như của hàng tiện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Lê Bôi,Phường 7,Quận 8,Not specified,Not specified,257181
6 tỷ VND,80m2 (5x16m2),"Kênh 19/5, Phường Sơn Kỳ, Quận Tân Phú",Not specified,Not specified,Not specified,"Near Son Ky 1 and Son Ky 2 apartments, Trí Đức school, Gumuda, Aone Mall Tan Phu, park, supermarket, Channel 16/5 market, BHX",Kênh 19/5,Phường Sơn Kỳ,Quận Tân Phú,Not specified,"Alley (hẻm xe hơi 3,5m, di chuyển 20m ra đường rộng 12M)",257180
1.550 tỷ VND,48m2 (4x12),"Mặt tiền đường Nguyễn Sĩ Cố phường 15, quận 8, TP Hồ Chí Minh",2,2,2 (1 trệt 1 lầu),"Gần với cửa hàng quần áo Repsaigon, Gần với phòng khám y khoa – 243 Bis, Xung quanh kinh doanh buôn bán sầm uất có các dịch vụ tiện ích xung quanh như của hàng tện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Nguyễn Sĩ Cố,Phường 15,Quận 8,Mặt tiền,Ngoài lộ,257089
1.55 tỷ,40m2 (4 x 10m),"Đường Tạ Quang Bửu, Phường 3, Quận 8",2,2,2,"An ninh, gần chợ, trường học, bệnh viện, ủy ban công an",Tạ Quang Bửu,Phường 3,Quận 8,Not mentioned,Nhà trong hẻm,257048
1.950 tỷ,4x12 (48m2),"Đường 19, Phường 7, Quận 8",2,2,1 trệt 1 lầu,"Gần cửa hàng điện thoại Minh Nhựt, gần cửa hàng điện máy xanh, gần giáo xứ Bình Thuận, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như các cửa hàng tiện lợi, gần bách hóa xanh, các cửa hàng buôn bán thời trang, và các dịch vụ chăm sóc sức khỏe và làm đẹp",Đường 19,Phường 7,Quận 8,Not mentioned in the text,Not mentioned in the text,257047
13.7 tỷ,3.6m x 14m (nở hậu 5.1m),"Hòa Hưng, Quận 10",Not mentioned,Not mentioned,5,"Thích hợp vừa ở vừa kinh doanh, Tiện ích xung quanh đầy đủ không thiếu gì",Not mentioned,Not mentioned,Quận 10,3.6m,Ngoài lộ,257044
"12,6 tỷ","4,3x22","Chdv Hxh Nguyễn Thái Sơn, Gò Vấp",13,14,5,Ô TÔ NGỦ TRONG NHÀ,Nguyễn Thái Sơn,Not mentioned in the text,Gò Vấp,6m,Nhà trong hẻm,257042
650 triệu VND,55 m2 (4.2 × 14.3),Near UBND,4,3,3,"Trường học, siêu thị, ngân hàng, bệnh viện, chợ",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Hẻm xe hơi,257041
1.9 tỷ,40m2 (4x10),nhà hẻm Lâm Văn Bền – Bình Thuận - Quận 7,2,2,"1 trệt, 1 lầu","gần trường tiểu học Nguyễn Thị Định, cửa hàng tiện lợi, bưu cục quận 7",Lâm Văn Bền,Bình Thuận,Quận 7,Not mentioned,Nhà trong hẻm,257040
1.8 tỷ,"45.5m2 (ngang 3.5m, dài 13m)","hẻm 302 đường Phan Huy Ích, phường 12, quận Gò Vấp",2,2,1 trệt 1 lầu,"cây xăng, ngân hàng, nhà thuốc, bách hóa xanh",Phan Huy Ích,phường 12,quận Gò Vấp,not mentioned,nhà trong hẻm,257039
1.75 tỷ,"38.5m2 (ngang 3.5, dài 11m)","nhà hẻm 190 đường Bùi Văn Ngữ, Hiệp Thành, quận 12",2,2,1 lầu 1 trệt,"gần Vinmart+, nha khoa, nhà thuốc, quán ăn, coffee, văn phòng công ty",Bùi Văn Ngữ,Hiệp Thành,quận 12,3.5,nhà trong hẻm,257038
2.4 tỷ VND,Not specified in the text,"Cách KCX Tân Thuận 200m, Quận 4",Not specified in the text,Not specified in the text,3,"Full nội thất đẹp, phong thủy chuẩn từng citimet, lộ giới",Not specified in the text,Not specified in the text,Quận 4,Not specified in the text,Not specified in the text,257037
12.5 tỷ,5m x 22m (vuông vức). DTCN: 109.3m²,"Quận 11, đường 10m. Cách mặt tiền 10m",Not specified,Not specified,6,"gần chợ, trường học, UBND, bệnh viện, ngân hàng",Not specified,Phường 15,Quận 11,Not specified,Nhà trong hẻm,257036
1.95 tỷ VND,45.6m2 (3.8x12),"nhà hẻm đường Phạm Hữu Lầu, phường Phú Mỹ, Quận 7",2,2,2,"gần trung tâm dạy nghề, ngân hàng, các cửa hàng tiện lợi",Phạm Hữu Lầu,Phú Mỹ,Quận 7,Not mentioned,Nhà trong hẻm,257088
1.450 tỷ,48m2,"đường Bình Đức, phường 15, quận 8",2,2,1 trệt 1 lầu,"gần với cửa hàng quần áo Mia Store, gần quá Café đồ gia dụng Dung Minh Nhật, gần với Trường mần non Hạnh Dung, gần với nhà thờ Bình Đông, gần với trường Mần non Bé Ngoan, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như của hàng tiện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Bình Đức,phường 15,quận 8,Not specified,Not specified,257035
1.77 tỷ,39.6m2 (3.3x12),"hẻm 92 Trần Mai Ninh, phường 12, quận Tân Bình",2,2,1,"Chợ Bà Hoa, phòng khám nha khoa, nhiều công ty văn phòng, quán ăn,...",Trần Mai Ninh,phường 12,quận Tân Bình,Not specified,Nhà trong hẻm,257087
11.5 tỷ,DT 4m x 16.2m (nở hậu 4.2m). DT 67m²,"Lò Siêu, Quận 11, liền kế cư xá Bình Thới",2,2,2,"Thông thoáng, sạch sẽ, giao thông thuận lợi, tiện ích xung quanh đầy đủ",Lò Siêu,Not specified,Quận 11,4m,Ngoài lộ,257085
"1 tỷ 8 (1,800 triệu VND)",21m2,"Near Nguyễn Thái Sơn, Gò Vấp",2,Not specified,2,"Near Vincom Phan Văn Trị, convenient transportation, suitable for living or renting",Nguyễn Thái Sơn,Not specified,Gò Vấp,3,Not specified,257084
1.7 tỷ,38.5m2 (3.5x11m),"đường Lâm Văn Bền, phường Bình Thuận, Quận 7",2,2,2,"gần trường tiểu học Nguyễn Thị Định, cửa hàng tiện lợi, bưu cục quận 7",Lâm Văn Bền,Bình Thuận,Quận 7,Not mentioned,Nhà trong hẻm,257067
10.8 tỷ,47m²,"Đường 3/2, Quận 10",Not mentioned,Not mentioned,5,"near market, school, hospital, bank, and other amenities",Đường 3/2,Not mentioned,Quận 10,3.3m,Hẻm xe hơi,257059
10.9 tỷ,53.3 m² (4.2m x 13m),"Lê Hồng Phong, Quận 10, Thành phố Hồ Chí Minh",Not mentioned,Not mentioned,6,"Near market, school, hospital, bank, and other amenities",Lê Hồng Phong,Not mentioned,Quận 10,Not mentioned,Nhà trong hẻm,257055
9 tỷ,4m x 17.2m,"Đường Xe Tải, Quận 10, Tp. HCM",6,6,3,"gần trường học, bênh viện, ngân hàng",Đường Xe Tải,not mentioned,Quận 10,4m,ngoài lộ,257053
14.6 tỷ,56.6m² (5.6m x 11m),"Hòa Hảo, Quận 10",Not specified,Not specified,4,"Near market, school, hospital, bank, and other amenities",Not specified,Not specified,Quận 10,12m,Main road,257019
3 tỷ 3,23m2,NHÀ PHAN ĐĂNG LƯU - PHÚ NHUẬN,Not specified,1,2,"phòng khách, bếp, phòng ngủ, ban công, wc",Phan Đăng Lưu,Not specified,Not specified,Ngang 4m2 (nở nhẹ 4m8),Ngoài lộ,256982
25 tỷ VND,"4.3m x 15m (nở hậu nhẹ), DTCN: 62.4m²","Nguyễn Chí Thanh, Quận 11, Tp. HCM",Not specified,Not specified,5 tầng,"gần chợ, trường học, bệnh viện, ngân hàng",Nguyễn Chí Thanh,Not specified,Quận 11,4.3m,Ngoài lộ,256981
8.5 tỷ VND,84m2,"Gò Vấp, HXH 1 sẹc, Quang Trung Phường 8",4,4,4,"sân thượng trước và sau, phòng khách, bếp rộng rãi, sân đậu xe hơi",Quang Trung,Phường 8,Gò Vấp,4.5m,hẻm,256979
16.8 tỷ VND,"175m2, 5x32",Nguyễn Trung Trực Phường 5 Bình Thạnh,2,1,1,"Sân vườn kinh doanh, cửa sau thoát hiểm, thông với hẻm xe tải, vị trí ưu thế, gần chợ Cây Quéo, khu VIP Phan Xích Long, di chuyển tiện lợi đến Q1, Q3, Tân Bình, Gò Vấp",Nguyễn Trung Trực,Phường 5,Bình Thạnh,5m,Ngoài lộ,256978
7.9 tỷ VND,85m2,"Khu Bàu Cát, Phường 10, Quận Tân Bình",5,5,4,"full nội thất, giếng trời, phòng thờ, bếp, ban công, sân để xe","Ni Sư Huỳnh Liên, Lạc Long Quân, Bùi Thế Mỹ, Đường Số 1",Phường 10,Quận Tân Bình,5m,nhà trong hẻm,256976
1.75 tỷ,48m2 (4x12),"Bán nhà hẻm đường Tạ Quang Bửu, phường 3, Quận 8",2,2,2,"An ninh, gần chợ trường học bệnh viện, ủy ban công an",Tạ Quang Bửu,Phường 3,Quận 8,Not mentioned,Hẻm,256975
2.050 tỷ,48m2,"Mễ Cốc, Phường 15, Quận 8",2,2,1 trệt 1 lầu,"Gần Vinmart, gần quán cà phê Nhung Bin, gần Trạm Y Tế phường 15 quận 8, gần trường mầm non Thiên Thần Nhỏ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như của hàng tện lợi, gần bách hóa xanh, các của hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Mễ Cốc,Phường 15,Quận 8,40,Nhà trong hẻm,256974
5.9 tỷ VND,55m2 (5x11),"Đường 385, P.Tăng Nhơn Phú A",2,2,2,"Pháp lý chuẩn, sổ hồng riêng, công chứng ngay, hẻm oto tránh nhau",Đường 385,Tăng Nhơn Phú A,Not mentioned in the text,10m,Nhà trong hẻm,256972
4.24 tỷ VND,48 m2,"Nhà 4 x 12 đường Nguyễn Thượng Hiền, phường 5, Bình Thạnh, TP. Hồ Chí Minh",4,5,2,"trường học, chợ, cửa hàng tiện lợi",Nguyễn Thượng Hiền,Phường 5,Bình Thạnh,4m,Nhà trong hẻm,256967
14.6 tỷ,56.6m² (5.6m x 11m),"Mặt tiền nội bộ 12m, đường lớn, quận 10, TP. HCM",Not mentioned,Not mentioned,4,"Gần chợ, trường học, bệnh viện, ngân hàng",Not mentioned,Not mentioned,Quận 10,12m,Ngoài lộ,256966
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,257004
Not provided in the text,"3,5x13,9 (48,65m2)","hẻm 380 Lê Văn Lương, Tân Hưng Q7",2,3,1 trệt 1 lầu,"cách siêu thị Lotte, Gần các trường đại học lớn như Tôn Đức Thắng, Rmit,...",Lê Văn Lương,Tân Hưng,Q7,Not provided in the text,Nhà trong hẻm,256962
7 tỷ,93m2 (11×8.5),"đường Đình Phong Phú, P.Tăng Nhơn Phú B",3,4,3,Hẻm oto đỗ cửa,Đình Phong Phú,Tăng Nhơn Phú B,,30m,nhà trong hẻm,257003
Not provided in the text,48m2 (4x12m),"hẻm C7 phạm hùng, phường 4, quận 8",2,3,"1 trệt, 1 lầu","phòng khách, bếp, 2phòng ngủ, 3WC, thuận tiện di chuyển về Quận 5,1,10,4,7,..., chợ Phạm Thế Hiển cách 700m, chợ Tạ Quang Bửu cách 400m, siêu thị Satra Phạm Hùng cách 1km,... Tiểu học Vàm Cỏ Đông cách 1.2km, Tiểu học Thái Hưng cách 350m, THPT Lương Văn Can cách 350m,..., Bệnh viện Quận 8 cách 1.2km, Công An Phường 4 cách 750m, UBND Phường 4 cách 800m,...",Phạm Hùng,Phường 4,Quận 8,Not provided in the text,Nhà hẻm,257000
1.950 tỷ,4x12 (48m2),"Mặt tiền hẻm 1 Mễ Cốc, phường 15, quận 8",2,2,1 trệt 1 lầu,"Gần tiệm gạo Bình Minh, gần cửa hàng giày dép Vạn Nguyên, gần cửa hàng tạp hóa Minh Nguyệt, gần cửa hàng thảo dược đông y Mộc Nhân, gần trường Tiểu học Nguyễn Nhược Thi, gần trường Mân Non Hoa Phượng, nằm gần chợ, xung quanh kinh doanh buôn bán sầm uất, các dịch vụ tiện ích xung quanh như cửa hàng tiện lợi, gần bách hóa xanh, các cửa hàng buôn bán thời trang và các dịch vụ chăm sóc sức khỏe và làm đẹp",Mễ Cốc,Phường 15,Quận 8,1,Nhà trong hẻm,256997
67trMV,192M2,"Chu Văn An, Bình Thạnh",4PN,ST,"trệt, lầu","bếp, khách, p.thờ, sân trước, xe hơi vô tận bếp",Chu Văn An,Bình Thạnh,Quận 1,Not mentioned,Not mentioned,256996
